tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
primary,PANC1,ecfp4,1.0,p1f7,1,7,antisym_mlp,72000,False,0.017934660581926713,0.0218350519290979,0.17862981777356957,0.4268596485982876,0.40867354157227354,0.09629409633073303,0.1339203516345694,0.7475409836065574,900
primary,PANC1,ecfp4,1.0,p1f8,1,8,antisym_mlp,71296,False,0.019737494603124253,0.024437584977479818,0.19233039511420136,0.4597646692558432,0.38454091918632,0.103406790599619,0.14049019397496842,0.7011494252873564,900
primary,PANC1,ecfp4,1.0,p1f9,1,9,antisym_mlp,73088,False,0.022469877660765858,0.025946232722537765,0.13398303711167403,0.3635138319646213,0.3049103188193237,0.11059745796952566,0.1498995585742862,0.6657681940700808,900
primary,PANC1,ecfp4,1.0,p2f0,2,0,antisym_mlp,71936,False,0.020686669423473743,0.031469806069913,0.3426502413927671,0.6214138693426492,0.5085124302622597,0.10586838134376292,0.1438286112825739,0.766497461928934,900
primary,PANC1,ecfp4,1.0,p2f1,2,1,antisym_mlp,35904,False,0.0303554830502714,0.03275095623418235,0.0731420837542075,0.3953422486369256,0.37057882787509616,0.11755135289239664,0.17422824986284915,0.7146666666666667,900
primary,PANC1,ecfp4,1.0,p2f2,2,2,antisym_mlp,72512,False,0.01958554363587297,0.018623265551765307,-0.051670749226708335,0.09371883652954355,0.10455468052018171,0.10013942140587463,0.13994836060444926,0.5619335347432024,900
primary,PANC1,ecfp4,1.0,p2f4,2,4,antisym_mlp,70016,False,0.022668154545287197,0.030239084856213513,0.2503690289215431,0.5030484017318977,0.4707649927139828,0.11186677347424907,0.15055947178868287,0.7593052109181141,900
primary,PANC1,ecfp4,1.0,p2f3,2,3,antisym_mlp,73472,False,0.023829874267188834,0.02905869590609975,0.1799399964749735,0.4127571114723886,0.3786461629376498,0.11626352381878845,0.15436927889702937,0.7055837563451777,900
primary,PANC1,ecfp4,1.0,p0f0,0,0,pair_only,2254,False,0.017049041271236645,0.02475102825608407,0.3111784651998929,0.5579641922458577,0.4130418268006093,0.09649256752204906,0.13057197735822432,0.7021857923497268,900
primary,PANC1,ecfp4,1.0,p0f1,0,1,pair_only,2246,False,0.024843055027621058,0.029085872123542585,0.14587209480603203,0.389398856029958,0.3849819041893115,0.11305179811903596,0.15761679805027462,0.7319587628865979,900
primary,PANC1,ecfp4,1.0,p2f5,2,5,antisym_mlp,71168,False,0.014781349044489857,0.019139752527324742,0.22771472497424605,0.4816904934687666,0.39282287179778413,0.09052080819220124,0.12157857148564404,0.8060200668896321,900
primary,PANC1,ecfp4,1.0,p2f6,2,6,antisym_mlp,72768,False,0.022736516174833226,0.026697292053530695,0.14835871258986577,0.3943949681317645,0.3574085235496176,0.10414996217848642,0.15078632621969815,0.7087087087087087,900
primary,PANC1,ecfp4,1.0,p2f7,2,7,antisym_mlp,72064,False,0.01715334774947215,0.017048997629035716,-0.006120601498513789,0.314975375769016,0.2779601456298094,0.09894799094458163,0.13097078968026477,0.6716417910447762,900
primary,PANC1,ecfp4,1.0,p0f2,0,2,pair_only,4360,False,0.022039093073567884,0.030094389082679626,0.2676677033376912,0.5409143884827472,0.4354170825536702,0.10736541296902452,0.1484556939748957,0.7472826086956522,900
primary,PANC1,ecfp4,1.0,p2f8,2,8,antisym_mlp,69888,False,0.017960418900594997,0.025836959093666394,0.30485554296527995,0.5703569623908322,0.5093934683869981,0.1001538100260298,0.1340164874207461,0.7634961439588689,900
primary,PANC1,ecfp4,1.0,p0f3,0,3,pair_only,4460,False,0.029028251660969406,0.03431265894358678,0.15400751341670826,0.3924328051183579,0.3486475580011004,0.12208227919878292,0.17037679319957108,0.7189054726368159,900
primary,PANC1,ecfp4,1.0,p0f4,0,4,pair_only,2230,False,0.026072868615214555,0.0305336392038994,0.14609364310937312,0.4012180374522838,0.32162202669386014,0.11702069354699042,0.16147095285287244,0.6840731070496083,900
primary,PANC1,ecfp4,1.0,p0f5,0,5,pair_only,4396,False,0.019911998791678483,0.020459058036238174,0.02673921954719083,0.3662758234168302,0.34501238037356463,0.104681009249373,0.14110988197740965,0.7,900
primary,PANC1,ecfp4,1.0,p2f9,2,9,antisym_mlp,70464,False,0.026150598050866718,0.031722466875517746,0.17564424754593078,0.4210113084144911,0.34400022716077433,0.11861065688332009,0.161711465427986,0.6565096952908587,900
primary,PANC1,ecfp4,1.0,p0f6,0,6,pair_only,2264,False,0.01784190597501503,0.02117219936406537,0.15729558048195502,0.4019116316609821,0.3792577027872874,0.09410541040534014,0.13357359759703646,0.739938080495356,900
primary,PANC1,ecfp4,1.0,p0f7,0,7,pair_only,2252,False,0.017003052954126085,0.026437030479925832,0.3568470949474888,0.5979933627297143,0.44490109247048454,0.09418493717318648,0.13039575512311005,0.736986301369863,900
primary,PANC1,ecfp4,1.0,p0f8,0,8,pair_only,2224,False,0.01883873963365836,0.018701166458354103,-0.007356395421142192,0.2614968263910361,0.2204100005061735,0.10113519291868739,0.13725428821591826,0.6627906976744186,900
primary,PANC1,ecfp4,1.0,p0f9,0,9,pair_only,4588,False,0.01800512892106387,0.02526178318111573,0.28725819582983836,0.550785296016167,0.4723219822905132,0.10024021263382743,0.13418319164881967,0.7859078590785907,900
primary,PANC1,ecfp4,1.0,p1f0,1,0,pair_only,4460,False,0.022920940032471356,0.027432718801517552,0.1644670658307702,0.4417901933003554,0.3207034840232466,0.11389758764704427,0.15139663150965862,0.6623711340206185,900
primary,PANC1,ecfp4,1.0,p1f1,1,1,pair_only,4516,False,0.022518765079945123,0.02091851899099449,-0.07649901456405916,0.18513931795082478,0.21013866272262888,0.11265927129522257,0.15006253723013324,0.633423180592992,900
primary,PANC1,ecfp4,1.0,p1f2,1,2,pair_only,2190,False,0.027613422680963277,0.03040743175718888,0.09188573038777093,0.40189994371504134,0.3895423574597006,0.11108114143293518,0.16617286987039515,0.7371273712737128,900
primary,PANC1,ecfp4,1.0,p1f3,1,3,pair_only,4520,False,0.024244551450461182,0.030656623999705274,0.20915781689809476,0.49799722880531616,0.44933680165037243,0.10875157932012583,0.15570661980295245,0.7688022284122563,900
primary,PANC1,ecfp4,1.0,p1f6,1,6,pair_only,2280,False,0.024017917957922602,0.030523517667894462,0.213134009675911,0.46203781093377005,0.42849901460783696,0.11023350935971941,0.15497715301915507,0.7606382978723404,900
